#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_914725855.1	PRJNA769113	SAMEA8654749	CAJZAX000000000.1	representative genome	8236	8236	Thunnus albacares			latest	Chromosome	Major	Full	2021/09/16	fThuAlb1.1	WELLCOME SANGER INSTITUTE	GCA_914725855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/914/725/855/GCF_914725855.1_fThuAlb1.1			na
GCF_910596095.1	PRJNA747049	SAMEA8654747	CAJVDC000000000.1	representative genome	8240	8240	Thunnus maccoyii			latest	Chromosome	Major	Full	2021/07/07	fThuMac1.1	Wellcome Sanger Institute	GCA_910596095.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/596/095/GCF_910596095.1_fThuMac1.1			na
GCF_016859285.1	PRJNA713387	SAMN16522248	JADGDB000000000.1	representative genome	8245	8245	Xiphias gladius	breed=wild, /ecotype=Sanya	SHS-SW01	latest	Chromosome	Major	Full	2021/02/12	ASM1685928v1	Institute of Deep-Sea Science and Engineering, Chinese Academy of Sciences	GCA_016859285.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/859/285/GCF_016859285.1_ASM1685928v1			na
GCF_001970005.1	PRJNA369269	SAMN05817825	MPLB00000000.1	representative genome	8255	8255	Paralichthys olivaceus	breed=gynogenesis		latest	Scaffold	Major	Full	2017/01/24	Flounder_ref_guided_V1.0	Tsinghua University	GCA_001970005.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/970/005/GCF_001970005.1_Flounder_ref_guided_V1.0			na
GCF_009819705.1	PRJNA627709	SAMN12629501	WOYB00000000.1	representative genome	8267	8267	Hippoglossus hippoglossus		fHipHip1	latest	Chromosome	Major	Full	2019/12/31	fHipHip1.pri	Vertebrate Genomes Project	GCA_009819705.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/705/GCF_009819705.1_fHipHip1.pri			na
GCF_017654675.1	PRJNA338693	SAMN18035302	JAGEVR000000000.1	representative genome	8355	8355	Xenopus laevis	strain=J_2021		latest	Chromosome	Major	Full	2021/04/12	Xenopus_laevis_v10.1	International Xenopus Sequencing Consortium	GCA_017654675.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/675/GCF_017654675.1_Xenopus_laevis_v10.1			na
GCF_000004195.4	PRJNA205740	SAMN13041969	AAMC00000000.4	representative genome	8364	8364	Xenopus tropicalis	strain=Nigerian		latest	Chromosome	Major	Full	2019/11/14	UCB_Xtro_10.0	University of California, Berkeley	GCA_000004195.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.4_UCB_Xtro_10.0			na
GCF_905171765.1	PRJNA713386	SAMEA7521636	CAJIMN000000000.1	representative genome	8384	8384	Bufo bufo			latest	Chromosome	Major	Full	2021/01/28	aBufBuf1.1	Wellcome Sanger Institute	GCA_905171765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/171/765/GCF_905171765.1_aBufBuf1.1			na
GCF_905171775.1	PRJNA714106	SAMEA7521635	CAJIMO000000000.1	representative genome	8407	8407	Rana temporaria			latest	Chromosome	Major	Full	2021/01/28	aRanTem1.1	Wellcome Sanger Institute	GCA_905171775.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/171/775/GCF_905171775.1_aRanTem1.1			na
GCF_015237465.2	PRJNA675851	SAMN12612360	JADCQM000000000.2	representative genome	8469	8469	Chelonia mydas		rCheMyd1	latest	Chromosome	Major	Full	2021/07/15	rCheMyd1.pri.v2	Vertebrate Genomes Project	GCA_015237465.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/237/465/GCF_015237465.2_rCheMyd1.pri.v2			na
GCF_000241765.4	PRJNA210179	SAMN02713681	AHGY00000000.3	representative genome	8478	8479	Chrysemys picta bellii		RCT428	latest	Chromosome	Major	Full	2020/08/21	Chrysemys_picta_BioNano-3.0.4	Painted turtle genome sequencing consortium	GCA_000241765.5	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/241/765/GCF_000241765.4_Chrysemys_picta_BioNano-3.0.4			na
GCF_000281125.3	PRJNA221578	SAMN02981418	AKHW00000000.3	representative genome	8496	8496	Alligator mississippiensis		KSC_2009_1	latest	Scaffold	Major	Full	2016/03/28	ASM28112v4	International Crocodilian Genomes Working Group	GCA_000281125.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/125/GCF_000281125.3_ASM28112v4			na
GCF_001723895.1	PRJNA357059	SAMN03102602	MDVP00000000.1	representative genome	8502	8502	Crocodylus porosus		Cpor-Errol	latest	Scaffold	Major	Full	2016/09/13	CroPor_comp1	Mississippi State University	GCA_001723895.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/723/895/GCF_001723895.1_CroPor_comp1			na
GCF_019175285.1	PRJNA746303	SAMN14373011	JAGXEY000000000.1	representative genome	8520	8520	Sceloporus undulatus	ecotype=Alabama	JIND9_A2432	latest	Chromosome	Major	Full	2021/07/08	SceUnd_v1.1	Auburn University	GCA_019175285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/175/285/GCF_019175285.1_SceUnd_v1.1			na
GCF_011800845.1	PRJNA638687	SAMN14329711	JAATIO000000000.1	representative genome	8524	8524	Zootoca vivipara		ELT05324	latest	Chromosome	Major	Full	2020/04/01	UG_Zviv_1	University of Glasgow	GCA_011800845.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1			na
GCF_900518725.1	PRJNA494227	SAMEA4800209	ULFQ00000000.1	representative genome	8663	8663	Notechis scutatus			latest	Scaffold	Major	Full	2018/09/24	TS10Xv2-PRI	UNIVERSITY OF NEW SOUTH WALES	GCA_900518725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/518/725/GCF_900518725.1_TS10Xv2-PRI			na
GCF_900518735.1	PRJNA495355	SAMEA4800208	ULFR00000000.1	representative genome	8673	8673	Pseudonaja textilis			latest	Scaffold	Major	Full	2018/09/24	EBS10Xv2-PRI	UNIVERSITY OF NEW SOUTH WALES	GCA_900518735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/518/735/GCF_900518735.1_EBS10Xv2-PRI			na
GCF_003342905.1	PRJNA484763	SAMN08476457	PTEY00000000.1	representative genome	8790	8790	Dromaius novaehollandiae		6597	latest	Scaffold	Major	Full	2018/07/26	droNov1	Harvard University	GCA_003342905.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/342/905/GCF_003342905.1_droNov1			na
GCF_015476345.1	PRJNA681492	SAMN15588841	JACGAL000000000.1	representative genome	8839	8839	Anas platyrhynchos	breed=Pekin duck	Z2	latest	Chromosome	Major	Full	2020/11/23	ZJU1.0	Zhejiang University	GCA_015476345.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/345/GCF_015476345.1_ZJU1.0			na
GCF_002166845.1	PRJNA832243	SAMN02898389	LABU00000000.1	representative genome	8845	8845	Anser cygnoides	breed=Sichuan white goose	SCWG-2014	latest	Scaffold	Major	Full	2017/06/02	GooseV1.0	Poultry Science Institute	GCA_002166845.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/166/845/GCF_002166845.1_GooseV1.0			na
GCF_013377495.1	PRJNA646059	SAMN15332785	JABXOC000000000.1	representative genome	8868	8868	Cygnus atratus	ecotype=Queensland, Australia	AKBS03	latest	Contig	Major	Full	2020/06/30	Cygnus_atratus_primary_v1.0	The University of Queensland	GCA_013377495.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/377/495/GCF_013377495.1_Cygnus_atratus_primary_v1.0			na
GCF_009769625.2	PRJNA642912	SAMN12621369	WNMI00000000.2	representative genome	8869	8869	Cygnus olor		bCygOlo1	latest	Chromosome	Major	Full	2021/03/31	bCygOlo1.pri.v2	Vertebrate Genomes Project	GCA_009769625.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/625/GCF_009769625.2_bCygOlo1.pri.v2			na
GCF_011077185.1	PRJNA641662	SAMN13257492	JAACYN000000000.1	representative genome	8884	8884	Oxyura jamaicensis	breed=ruddy duck	SHBP4307	latest	Chromosome	Major	Full	2020/03/10	BPBGC_Ojam_1.0	Brood Parasitic Bird Genomes Consortium	GCA_011077185.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/077/185/GCF_011077185.1_BPBGC_Ojam_1.0			na
GCF_000747805.2	PRJNA264987	SAMN03018471	AVOS00000000.1	representative genome	8897	8897	Chaetura pelagica		M959	latest	Scaffold	Minor	Full	2014/09/04	ChaPel_1.1	BGI	GCA_000747805.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/805/GCF_000747805.2_ChaPel_1.1			na
GCF_000337935.1	PRJNA217047	SAMN02981415	AKCR00000000.1	representative genome	8932	8932	Columba livia	breed=Danish Tumbler		latest	Scaffold	Major	Full	2013/02/11	Cliv_1.0	BGI	GCA_000337935.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/935/GCF_000337935.1_Cliv_1.0			na
GCF_000337955.1	PRJNA198010	SAMN02981425	AKMT00000000.1	representative genome	8954	8954	Falco peregrinus			latest	Scaffold	Major	Full	2013/02/05	F_peregrinus_v1.0	BGI	GCA_000337955.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/955/GCF_000337955.1_F_peregrinus_v1.0			na
GCF_000691405.1	PRJNA263514	SAMN02333670	JJRL00000000.1	representative genome	8969	8969	Haliaeetus albicilla		BGI_N329	latest	Scaffold	Major	Full	2014/05/15	ASM69140v1	BGI	GCA_000691405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/405/GCF_000691405.1_ASM69140v1			na
GCF_002078875.1	PRJNA383663	SAMN05969731	MTSP00000000.1	representative genome	8996	8996	Numida meleagris	breed=g44 Domestic line	19003	latest	Chromosome	Major	Full	2017/06/01	NumMel1.0	INRA	GCA_002078875.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/875/GCF_002078875.1_NumMel1.0			na
GCF_019232065.1	PRJNA752107	SAMN20124253	JAHKSY000000000.1	representative genome	9002	9002	Centrocercus urophasianus		14NV4802_14NV808	latest	Scaffold	Major	Full	2021/07/15	USGS_Curo_1.0	United States Geological Survey	GCA_019232065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/232/065/GCF_019232065.1_USGS_Curo_1.0			na
GCF_016699485.2	PRJNA698609	SAMN15960293	JAENSK000000000.1	representative genome	9031	9031	Gallus gallus	breed=Cross of Broiler mother + white leghorn layer father	bGalGal1	latest	Chromosome	Minor	Full	2021/01/19	bGalGal1.mat.broiler.GRCg7b	Vertebrate Genomes Project	GCA_016699485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b			na
GCF_016700215.2	PRJNA698614	SAMN15960293	JAENSL000000000.1	na	9031	9031	Gallus gallus	breed=Cross of Broiler mother + white leghorn layer father	bGalGal1	latest	Chromosome	Major	Full	2021/10/01	bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ	Vertebrate Genomes Project	GCA_016700215.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/700/215/GCF_016700215.2_bGalGal1.pat.whiteleghornlayer.GRCg7w			na
GCF_004143745.1	PRJNA589599	SAMN08888240	QCWP00000000.1	representative genome	9054	9054	Phasianus colchicus		SZU-A5-319	latest	Scaffold	Major	Full	2019/02/06	ASM414374v1	Shenzhen University	GCA_004143745.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/143/745/GCF_004143745.1_ASM414374v1			na
